,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
New Zealand,"298,815.39","790,575.77","11,540.01",0,0,0,113.68,,0,,New Zealand,"1,012.73",0,853.06,0,0,0,0,0,0
Nicaragua,"2,328,979.16","20,754,451.17","431,027.59",196.82,11.05,40.46,"23,328.37",,0,,Nicaragua,"14,018.79",812.52,"4,273.05",147.15,6.16,27.31,0,0,0
Niger,"277,628.00","2,053,540.00","181,019.31","4,011.56",530.24,0,"22,823.28",,"11,209.69",,Niger,"430,291.19","2,694,360.43","224,586.06","3,710.49",478.37,0,"14,383.30",0,"9,916.06"
Nigeria,"1,936,960.00","25,052,500.00","9,011,591.94","155,150.34","19,915.90",453.2,"367,922.87",,"242,127.33",,Nigeria,"3,251,728.13","31,559,002.33","10,544,359.05","152,225.71","20,372.71",485.4,"356,862.32","183,163.94","257,452.30"
Niue,990.17,0,1.28,0,0,0,0,,0,,Niue,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,"2,791.62",0,86.59,0,0.03,0,0,,0,,Northern Mariana Islands,0,0,213.9,0,0.02,0,0,0,0
Norway,"2,798,425.42","43,293.10","1,607.70",0,0,0,0,,0,,Norway,"1,582.49",0,835.85,0,0,0,0,0,0
Oman,"2,517.47",2.4,991.88,1.14,0.04,0,71.8,,0,,Oman,"2,842.04",0,"1,044.79",1.12,0.04,0,98.31,0,0
Pakistan,"2,461,164.51","214,334.61","202,409.09","17,918.63","1,416.22",28.09,0,,0,,Pakistan,"3,108,471.83","211,394.43","82,143.80","17,502.19","1,432.46",28.87,0,0,0
Palau,"135,455.04","4,801.58","8,088.32",0,61,0,0,,0,,Palau,0,0,0,0,0,0,0,0,0
Panama,"21,680.20",785.11,"45,720.16",111.85,0.06,0,0,,0,,Panama,"15,730.32","1,552.28","27,802.05",104.04,0.03,0,0,0,0
Papua New Guinea,"243,282.07","120,931.54","88,615.39","5,160.18","8,647.61",0,0,,"15,916.26",,Papua New Guinea,"52,796.06","108,100.00","40,803.37","4,764.93","10,984.40",0,0,0,"17,899.69"
Paraguay,"1,386,420.78",757.48,"25,333.11",189.63,"1,251.03",87.74,"7,712.50",,148.4,,Paraguay,"21,654.38",0,"5,280.84",168.19,333.87,5.49,0,0,0
Peru,"137,082.56","1,272.50","130,994.42","1,134.69",170.82,992.86,0,,0,,Peru,"171,719.06","1,913.46","17,162.84",995.33,151.64,899.33,0,0,0
Philippines,"1,246,245.48","49,318.90","19,341.95","19,358.25","21,034.26","5,563.23","61,667.62",,"55,452.14",,Philippines,"1,957,575.71","50,110.00","251,558.95","16,841.87","17,874.91","5,419.06","58,827.08",0,"36,379.95"
Poland,"32,492.70",31.86,"12,075.66",0.83,0,0,0,,0,,Poland,"53,217.25",0,"7,489.53",0.62,0,0,0,0,0
Portugal,"11,194.68",3.25,"42,768.24",0,0,0,0,,0,,Portugal,"12,348.91",0,"37,869.09",0,0,0,25.27,0,0
Puerto Rico,"132,978.01",1.63,584.53,0,0,0,157.55,,0,,Puerto Rico,0,0,"12,885.01",0,0,0,130.93,0,0
