,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Lithuania,"10,654.50",6.8,"3,537.85",0.120913318,0,0,0,,0,,Lithuania,"6,368.63",0,"3,008.23",0.101994502,0,0,0,0,0
Luxembourg,90.23,1.27,332.9,0,0,0,0,,0,,Luxembourg,36.02,0,138.65,0,0,0,0,0,0
Madagascar,"180,999.00","787,324.00","202,962.27","26,982","3,344.83","6,803.09","39,064.34",,"24,192.62",,Madagascar,"181,093.78","350,206.87","226,513.31",23120.53205,"2,401.74",5025.614699,"34,675.48",0,"23,686.45"
Malawi,"271,772.00","1,146,980.00","2,631,089.16","3,061","1,095.58",9.35203974,"33,590.26",,"22,763.33",,Malawi,"178,154.49","941,730.20","1,723,555.30",1875.135278,809.69,6.904722925,"19,398.97",4332.198064,"20,685.54"
Malaysia,"61,132.60","16,741.70","235,735.32","7,033","5,389.45",767.99,0,,113.74,,Malaysia,"40,762.00","15,124.12","103,087.57",6611.96705,"5,381.50",635.112166,0,0,95.55
Maldives,447.81,2.56,102.02,0.105334503,0,0,0,,0,,Maldives,224.04,0,52.3,0.061134508,0,0,0,0,17.08
Mali,"179,698.00","3,225,830.00","333,827.16","3,184","2,376.89",0.12,"34,798.01",,"37,387.63",,Mali,"122,511.81","3,070,282.60","386,669.70",2444.527372,"1,838.14",0.096500977,"15,616.48",0,"33,671.89"
Malta,85.22,0.13,142.58,0,0,0,0,,0,,Malta,23.98,0,93.87,0,0,0,0,0,0
Marshall Islands,573.39,1.99,0,1.428319691,22.98,0.365605957,0,,0,,Marshall Islands,114.12,0,171,1.164214256,23.54,0.38595568,0,0,18.73
Mauritania,"34,758.80","108,355.00","52,504.73",114.1847808,97.14,2.39,"6,803.15",,83.4,,Mauritania,"21,300.07","28,498.84","18,990.26",75.95752216,106.9,2.585092468,"6,625.89",0,99.57
Mauritius,538.52,9.83,"23,976.07",0.575718273,0.01,0,"1,152.40",,0,,Mauritius,446.22,7.43,"3,872.09",0.417530098,0.01,0,"1,239.71",0.00E+00,0
Mexico,"130,755.00",113.41,"253,760.01",5390.868746,26.95,6442.944467,0,,0,,Mexico,"84,919.09",787.54,"258,597.16",4861.653972,21.16,6187.739069,0,2.62E-78,0
Micronesia (Federated States of),785.2,4.14,0,23,10.84,0.422888554,0,,25.07,,Micronesia (Federated States of),144.51,0,0,20.44030621,8.75,0.387800291,0,0,88.1
Monaco,,,0,0,0,0,0,,0,,Monaco,n/a,,0,0,0,0,0,0,0
Mongolia,"25,608.40",0.96,"1,066.07",0,0.04,0,0,,0,,Mongolia,"15,676.90",0,160.29,0,0.05,0,0,0,0
Montenegro,294.89,0.53,93.67,0.158742939,0,0,0,,0,,Montenegro,128.98,0,61.82,0.103310044,0,0,0,0,0
Montserrat,,,0,0,0,0,0,,0,,Montserrat,n/a,,0,0,0,0,0,0,0
Morocco,"218,892.00",8.93,"77,078.49",433.4294395,0.29,64.47330557,"2,864.39",,0,,Morocco,"100,874.46",211.11,"17,375.66",394.628627,0.38,64.22845181,"3,094.02",0,0
Mozambique,"540,212.00","3,360,590.00","3,853,078.93","19,064","8,255.43","8,104.03","25,749.72",,"44,335.17",,Mozambique,"418,851.84","1,920,110.91","4,241,733.00",13949.63437,"9,230.20","9,246.75","22,149.90",0,"40,563.24"
Myanmar,"1,122,430.00","1,225,710.00","1,098,668.52","7,745",806.53,"3,786.04",0,,"73,183.63",,Myanmar,"689,465.79","406,350.21","393,499.72",3622.679528,355.73,1935.990668,0,0,"49,376.19"
Namibia,"42,917.10","24,977.40","260,588.37",18.10367195,478.56,5.75,"1,522.84",,0,,Namibia,"49,547.11","13,514.22","297,031.57",11.57187236,488.45,6.219685022,"1,767.74",0,0
Nauru,,,0,0,0,0,0,,0,,Nauru,n/a,,0,0,0,0,0,0,0
Nepal,"359,659.00","30,423.00","217,743.66","2,940","12,245.97","1,639.81",0,,"30,099.50",,Nepal,"382,212.17","33,467.78","90,026.45",2169.725337,"10,309.67","1,485.40",0,0,"20,282.79"
Netherlands,"3,059.27",5.52,"5,205.16",0,0,0,0,,0,,Netherlands,"1,246.20",0,"3,232.71",0,0,0,0,0,0
New Caledonia,,,0,0,0,0,0,,0,,New Caledonia,n/a,,0,0,0,0,0,0,0
New Zealand,656.17,20.38,910.06,0,0,0,0,,0,,New Zealand,352.79,0,628.4,0,0,0,0,0,0
Nicaragua,"14,090.80","1,712.03","4,338.15",196.8222931,11.05,40.46398123,0,,0,,Nicaragua,"6,239.57",191.94,"9,753.16",123.1713437,4.51,20.80020441,0,0,0
Niger,"277,628.00","2,053,540.00","181,019.31","4,012",530.24,0.004127479,"22,823.28",,"11,209.69",,Niger,"277,211.31","2,314,368.12","195,978.98",3437.695836,460.79,0.003271842,"11,114.48",0,"9,138.53"
Nigeria,"1,936,960.00","25,052,500.00","9,011,591.94","155,150","19,915.90",453.2,"367,922.87",,"242,127.33",,Nigeria,"685,247.35","15,922,533.94","7,887,547.00",139394.3909,"20,879.11",524.82,"323,098.18",169547.9682,"268,479.47"
Niue,,,0,0,0,0,0,,0,,Niue,n/a,,0,0,0,0,0,0,0
Northern Mariana Islands,,,0,0,0.03,0,0,,0,,Northern Mariana Islands,60.73,1.36,69.21,0,0.01,0,0,0,0
Norway,796.24,2.07,"1,232.36",0,0,0,0,,0,,Norway,530.89,0,699.33,0,0,0,0,0,0
Oman,"2,517.47",2.4,991.88,1.13502098,0.04,0,71.8,,0,,Oman,"1,227.82",27.28,"3,404.10",0.953972742,0.04,0.000143122,118.3,0,0
Pakistan,"2,452,820.00","214,312.00","202,141.18",17918.63009,"1,416.22",28.09287039,0,,0,,Pakistan,"1,916,576.61","498,832.45","78,120.91",17297.71745,"1,499.93",29.74384549,0,0,0
Palau,,,0,0,0,0,0,,0,,Palau,n/a,,0,0,0,0,0,0,0
